사업자번호,최종평판점수,일반 평판 환산 점수,미래 평판 환산 점수,사회적 책임 환산 점수,대중 평판 점수,고용 평판 점수,신용 평판 점수,기업 프로파일 점수,사업계획 점수,경제적 책임 점수,법률적 책임 점수,윤리적 책임 점수,자선적 책임 점수,
6413,53.625,54.71698113,50.52083333,69.34306569,50,50,50,55,50,50,100,100,50,
8494,52.1,47.16981132,58.33333333,73.72262774,50,50,30,60,60,60,100,100,50,
6895,46.625,41.50943396,50.52083333,69.34306569,55,50,10,55,50,50,100,100,50,
7221,56.85,58.49056604,53.125,73.72262774,50,80,30,60,50,60,100,100,50,
9405,53.75,43.39622642,63.54166667,91.24087591,50,50,20,80,50,100,100,100,50,
7220,61.1,54.71698113,79.16666667,73.72262774,50,50,50,60,100,60,100,100,50,
9401,55.2375,47.16981132,72.65625,71.53284672,50,50,30,57.5,90,55,100,100,50,
7234,52.075,47.16981132,55.72916667,78.10218978,50,50,30,65,50,70,100,100,50,
7222,61.75,58.49056604,63.54166667,91.24087591,50,80,30,80,50,100,100,100,50,
8509,61.75,58.49056604,63.54166667,91.24087591,50,50,60,80,50,100,100,100,50,
8512,62.025,58.86792453,71.35416667,78.10218978,55,56,50,65,80,70,100,100,50,
6421,49.625,47.16981132,50.52083333,69.34306569,50,50,30,55,50,50,100,100,50,
7935,51.625,50.94339623,50.52083333,69.34306569,50,50,40,55,50,50,100,100,50,
7944,59.225,65.28301887,50.52083333,69.34306569,70,68,40,55,50,50,100,100,50,
6442,52.2375,50.94339623,51.82291667,71.53284672,50,50,40,57.5,50,55,100,100,50,
9072,45.625,39.62264151,50.52083333,69.34306569,50,50,10,55,50,50,100,100,50,
5135,65.15,57.73584906,84.375,82.48175182,60,68,30,70,100,80,100,100,50,
9077,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
7597,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
7599,57.2375,60.37735849,51.82291667,71.53284672,55,60,50,57.5,50,55,100,100,50,
6448,56.025,45.28301887,71.35416667,86.86131387,55,50,20,95,50,90,100,100,50,
9417,54.15,45.28301887,63.54166667,86.86131387,55,50,20,80,50,100,90,90,50,
6920,48.2375,43.39622642,51.82291667,71.53284672,50,50,20,57.5,50,55,100,100,50,
9427,67.45,64.52830189,73.95833333,91.24087591,70,56,50,80,70,100,100,100,50,
8851,46.85,39.62264151,53.125,73.72262774,50,50,10,60,50,60,100,100,50,
9425,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
6926,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
9087,50.85,47.16981132,53.125,73.72262774,50,50,30,60,50,60,100,100,50,
8556,52.85,50.94339623,53.125,73.72262774,50,50,40,60,50,60,100,100,50,
9086,55.75,47.16981132,63.54166667,91.24087591,50,50,30,80,50,100,100,100,50,
